Id,SalePrice
1461,120208.84
1462,156886.97
1463,173795.02
1464,180778.89
1465,193344.7
1466,175807.48
1467,164622.98
1468,162119.92
1469,191415.03
1470,126419.79
1471,202189.94
1472,97924.805
1473,95780.52
1474,155947.28
1475,136765.39
1476,380068.28
1477,269644.9
1478,298452.72
1479,262270.84
1480,514081.7
1481,322071.94
1482,213266.45
1483,169892.5
1484,169392.73
1485,180449.52
1486,192556.27
1487,348890.03
1488,238387.66
1489,205101.36
1490,218334.64
1491,189377.17
1492,87473.07
1493,193809.58
1494,297786.03
1495,296900.47
1496,230252.45
1497,187172.81
1498,164042.77
1499,164826.47
1500,147201.75
1501,167580.39
1502,167023.69
1503,286221.34
1504,226825.66
1505,216578.98
1506,190293.47
1507,228586.22
1508,196282.39
1509,163739.44
1510,148257.02
1511,144157.69
1512,179781.94
1513,143857.33
1514,177050.92
1515,192054.67
1516,163627.69
1517,161552.81
1518,142498.08
1519,227725.58
1520,132966.02
1521,137691.27
1522,165555.95
1523,108356.484
1524,121828.49
1525,123795.1
1526,122301.37
1527,106525.87
1528,133794.23
1529,149251.58
1530,176979.39
1531,112867.36
1532,105513.52
1533,147153.06
1534,120303.01
1535,150615.17
1536,113576.68
1537,77562.53
1538,181238.86
1539,207952.12
1540,92563.27
1541,144329.78
1542,129790.766
1543,221694.23
1544,81262.74
1545,108166.69
1546,126327.38
1547,132815.33
1548,134852.98
1549,117899.125
1550,135920.81
1551,124178.24
1552,135688.23
1553,153610.17
1554,110454.4
1555,161380.73
1556,79194.875
1557,116427.48
1558,99954.67
1559,87959.4
1560,137743.84
1561,139307.53
1562,127246.41
1563,122790.43
1564,161020.11
1565,145982.55
1566,214346.25
1567,75988.336
1568,216357.67
1569,137180.81
1570,135298.27
1571,128489.41
1572,148500.45
1573,243204.66
1574,127428.37
1575,229912.55
1576,221206.42
1577,196448.61
1578,143532.56
1579,145837.94
1580,189915.77
1581,142348.25
1582,128652.875
1583,339635.94
1584,234727.4
1585,141524.03
1586,77341.125
1587,97808.195
1588,149908.42
1589,106390.8
1590,135768.77
1591,101761.42
1592,122759.9
1593,132825.42
1594,129897.734
1595,113077.65
1596,247533.36
1597,191626.16
1598,213767.8
1599,199578.2
1600,193665.06
1601,79044.75
1602,115044.484
1603,97834.15
1604,283439.62
1605,242303.7
1606,160541.84
1607,183796.98
1608,215254.4
1609,189087.28
1610,152628.12
1611,141646.48
1612,172404.97
1613,157132.23
1614,128696.56
1615,90927.76
1616,70043.88
1617,95178.46
1618,122983.46
1619,136290.9
1620,164170.33
1621,123165.83
1622,143831.6
1623,293382.22
1624,213044.98
1625,130702.19
1626,165737.92
1627,178935.42
1628,287007.6
1629,179527.6
1630,385019.94
1631,224202.8
1632,242916.08
1633,171570.61
1634,177261.45
1635,181943.08
1636,151131.23
1637,171875.75
1638,214614.44
1639,181153.05
1640,255621.67
1641,179293.16
1642,214500.56
1643,216401.0
1644,222608.97
1645,184415.53
1646,155676.2
1647,168735.25
1648,136195.98
1649,136067.5
1650,123833.305
1651,127591.97
1652,99311.67
1653,99071.766
1654,151995.97
1655,160853.47
1656,148054.36
1657,147834.38
1658,148923.67
1659,143117.2
1660,152068.22
1661,457374.72
1662,420695.75
1663,384845.88
1664,449233.5
1665,310752.44
1666,332341.84
1667,356060.2
1668,329596.88
1669,308591.03
1670,357215.5
1671,252215.19
1672,497673.0
1673,303692.16
1674,245768.36
1675,177888.56
1676,182197.1
1677,214786.38
1678,454549.4
1679,367738.72
1680,328370.0
1681,266226.16
1682,299487.22
1683,178987.77
1684,174724.95
1685,170743.64
1686,175848.36
1687,168427.8
1688,183461.61
1689,186471.9
1690,186655.5
1691,180872.33
1692,274858.4
1693,172167.08
1694,177925.3
1695,168035.67
1696,276459.34
1697,170325.14
1698,401545.75
1699,320213.34
1700,244802.58
1701,261925.36
1702,256127.25
1703,245034.77
1704,301008.25
1705,226609.4
1706,422319.66
1707,211957.34
1708,203263.66
1709,322354.97
1710,222390.69
1711,248536.02
1712,254477.39
1713,264175.6
1714,212837.83
1715,200510.67
1716,175505.36
1717,172109.81
1718,144331.53
1719,199090.5
1720,250702.11
1721,172699.34
1722,137514.08
1723,149646.5
1724,225200.66
1725,242463.17
1726,188937.31
1727,154573.44
1728,183918.1
1729,162534.23
1730,164081.47
1731,122121.63
1732,137288.61
1733,120911.95
1734,126387.414
1735,134108.39
1736,113202.38
1737,352457.84
1738,205901.95
1739,305204.22
1740,236044.48
1741,186880.14
1742,164062.62
1743,174139.67
1744,298453.97
1745,215977.02
1746,234804.1
1747,229063.98
1748,226560.16
1749,151978.55
1750,130862.484
1751,242885.81
1752,123309.89
1753,152606.56
1754,213698.62
1755,164737.84
1756,134859.34
1757,122572.54
1758,145814.34
1759,159024.64
1760,168615.03
1761,146689.97
1762,168316.31
1763,178332.47
1764,116498.44
1765,176809.84
1766,184948.92
1767,216941.66
1768,146144.89
1769,179149.39
1770,145703.9
1771,138580.6
1772,143970.8
1773,131678.58
1774,135606.88
1775,136026.5
1776,124918.336
1777,114027.9
1778,141574.89
1779,121032.37
1780,179826.19
1781,135993.31
1782,102324.82
1783,123605.164
1784,99814.516
1785,114392.79
1786,167990.81
1787,173480.39
1788,61582.566
1789,108131.82
1790,89495.49
1791,190815.62
1792,156086.47
1793,139927.03
1794,145464.56
1795,135626.61
1796,129262.625
1797,125487.16
1798,124553.03
1799,116243.15
1800,139546.23
1801,124299.99
1802,148985.38
1803,153902.55
1804,136540.58
1805,139776.42
1806,111994.086
1807,135567.61
1808,123349.35
1809,126561.36
1810,135082.81
1811,106164.24
1812,105673.53
1813,119898.445
1814,95059.55
1815,52006.6
1816,96771.19
1817,106697.4
1818,140763.98
1819,123384.52
1820,68450.49
1821,114209.5
1822,150159.8
1823,54921.477
1824,140938.5
1825,121179.18
1826,99207.71
1827,103436.55
1828,133011.8
1829,120522.72
1830,139775.3
1831,179190.02
1832,79956.96
1833,141432.78
1834,123802.945
1835,150821.7
1836,128118.97
1837,90287.56
1838,124257.57
1839,88801.23
1840,146885.6
1841,141045.4
1842,71559.35
1843,142164.27
1844,146242.22
1845,137536.36
1846,156279.78
1847,149600.03
1848,58983.99
1849,121447.04
1850,124160.3
1851,156516.58
1852,131631.34
1853,133423.1
1854,171540.0
1855,138979.05
1856,214619.38
1857,170072.1
1858,125169.35
1859,124089.734
1860,141180.61
1861,124089.734
1862,308458.22
1863,306454.03
1864,306454.03
1865,344633.47
1866,337856.3
1867,253592.92
1868,299991.28
1869,202157.9
1870,266492.38
1871,250605.64
1872,166503.61
1873,222746.78
1874,140927.0
1875,202740.9
1876,193450.5
1877,219830.33
1878,207782.0
1879,133511.66
1880,132265.55
1881,242195.62
1882,256412.95
1883,192652.8
1884,204735.03
1885,272986.9
1886,306458.78
1887,206851.58
1888,300254.84
1889,167076.08
1890,131525.17
1891,139991.81
1892,108954.195
1893,130872.234
1894,137577.52
1895,140816.11
1896,126851.52
1897,111204.01
1898,112127.78
1899,154815.58
1900,159014.56
1901,164167.69
1902,136555.5
1903,218696.11
1904,148111.66
1905,198285.4
1906,174989.83
1907,201264.62
1908,112195.92
1909,143624.64
1910,127635.68
1911,218825.8
1912,309671.62
1913,143481.28
1914,75916.65
1915,298847.12
1916,64330.184
1917,270624.62
1918,139730.05
1919,161072.66
1920,144228.2
1921,436158.7
1922,333437.47
1923,210316.72
1924,203045.5
1925,223751.84
1926,392820.75
1927,132045.95
1928,167036.31
1929,125786.51
1930,134987.25
1931,141327.38
1932,124019.82
1933,172963.55
1934,172159.1
1935,172721.0
1936,181529.11
1937,182415.45
1938,176980.44
1939,230883.8
1940,194876.67
1941,170520.7
1942,181319.72
1943,213913.34
1944,326073.44
1945,388467.97
1946,133594.89
1947,297265.03
1948,189164.7
1949,225599.97
1950,178930.16
1951,270613.28
1952,217908.28
1953,164939.05
1954,205887.33
1955,127821.266
1956,302571.62
1957,158766.78
1958,311308.97
1959,132284.52
1960,115554.78
1961,117542.82
1962,102253.664
1963,108136.31
1964,104469.18
1965,146682.53
1966,159291.92
1967,286178.38
1968,423191.7
1969,400619.5
1970,469111.56
1971,446789.88
1972,375760.12
1973,275475.03
1974,307887.6
1975,488542.75
1976,277462.75
1977,358335.53
1978,397168.7
1979,341957.0
1980,189299.31
1981,360969.62
1982,233479.42
1983,217664.56
1984,171889.62
1985,222174.14
1986,219163.11
1987,179248.83
1988,172566.0
1989,192556.27
1990,224893.8
1991,223456.56
1992,206701.31
1993,169954.55
1994,244931.16
1995,186112.9
1996,251268.62
1997,316485.88
1998,363431.56
1999,252740.9
2000,318254.75
2001,252540.4
2002,228492.8
2003,244645.9
2004,269721.8
2005,224768.0
2006,240213.95
2007,244515.36
2008,220653.28
2009,183566.64
2010,197380.56
2011,148694.86
2012,178913.22
2013,180930.42
2014,182980.77
2015,203206.42
2016,187498.66
2017,195460.42
2018,117399.56
2019,133765.38
2020,109999.31
2021,113552.84
2022,175516.66
2023,129469.1
2024,223411.92
2025,376427.62
2026,179928.27
2027,148691.06
2028,156966.97
2029,160946.14
2030,287855.53
2031,261028.88
2032,265701.56
2033,279291.56
2034,163930.52
2035,205838.12
2036,194504.67
2037,203375.53
2038,300104.25
2039,234830.1
2040,349160.5
2041,254568.97
2042,199952.06
2043,170234.56
2044,180481.12
2045,207357.84
2046,139903.61
2047,144397.88
2048,137407.8
2049,138543.05
2050,180596.28
2051,116269.45
2052,137163.39
2053,146431.53
2054,85862.33
2055,168958.62
2056,134708.53
2057,120455.4
2058,221844.47
2059,133451.67
2060,172880.42
2061,177516.44
2062,133219.94
2063,112268.54
2064,138639.39
2065,125342.7
2066,175676.27
2067,127428.32
2068,151777.97
2069,91429.805
2070,110811.16
2071,90852.85
2072,138959.31
2073,138504.4
2074,185244.66
2075,152917.86
2076,128623.84
2077,152397.39
2078,127498.82
2079,132661.67
2080,113302.984
2081,122217.9
2082,131622.56
2083,140577.44
2084,110058.28
2085,120825.85
2086,128094.2
2087,122017.74
2088,102748.195
2089,70688.625
2090,134731.34
2091,127620.96
2092,122477.73
2093,118950.89
2094,137813.66
2095,148792.33
2096,82164.71
2097,91685.164
2098,146301.03
2099,62298.914
2100,88465.8
2101,123111.914
2102,134444.36
2103,102670.984
2104,131315.67
2105,125405.7
2106,74098.84
2107,232557.05
2108,113760.96
